Ethnic Group,Park Hill & Whitgift,Heathrow Villages,Bloomsbury,Worcester Park South,St James's (Westminster),West End (Westminster),Stratford Olympic Park,Motspur Park & Old Malden East,Tudor (Kingston upon Thames),Cranham
Mixed or Multiple ethnic groups: European and Black Caribbean,0,0,2,0,0,0,3,0,0,3
Mixed or Multiple ethnic groups: European and North African or Middle Eastern,0,1,7,0,3,5,1,1,6,0
"Mixed or Multiple ethnic groups: European Mixed, European unspecified, other European",2,12,21,2,13,9,12,4,12,1
Mixed or Multiple ethnic groups: Greek Cypriot,1,0,0,0,1,2,1,0,0,0
Mixed or Multiple ethnic groups: Hispanic or Latin American,5,3,32,9,19,34,24,11,8,2
Mixed or Multiple ethnic groups: Indian or British Indian,1,6,4,0,1,0,0,0,1,3
Mixed or Multiple ethnic groups: Iranian,1,0,2,2,0,6,0,0,0,1
Mixed or Multiple ethnic groups: Italian,0,0,2,0,1,18,0,0,0,0
Mixed or Multiple ethnic groups: Jewish,0,0,1,1,2,5,2,0,0,0
Mixed or Multiple ethnic groups: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian,4,1,0,3,0,2,1,6,0,3
Mixed or Multiple ethnic groups: Mexican,0,0,3,2,0,2,3,0,3,0
Mixed or Multiple ethnic groups: Mixed Black,1,0,1,1,2,0,4,0,1,1
Mixed or Multiple ethnic groups: Mixed Irish,1,1,3,0,1,1,4,0,2,3
Mixed or Multiple ethnic groups: Mixed South Asian,1,3,2,0,0,0,5,1,0,0
Mixed or Multiple ethnic groups: Mixed White,0,0,4,4,3,6,8,2,0,1
Mixed or Multiple ethnic groups: Moroccan,0,6,1,1,4,2,0,0,0,0
"Mixed or Multiple ethnic groups: Other Asian, Asian unspecified",0,1,2,0,13,3,0,1,0,0
Mixed or Multiple ethnic groups: Other Middle East,0,0,3,0,3,5,3,3,5,0
Mixed or Multiple ethnic groups: Other Mixed,16,39,74,18,63,74,69,26,28,20
"Mixed or Multiple ethnic groups: Other White, White unspecified",6,7,7,3,14,9,4,2,2,0
Mixed or Multiple ethnic groups: Pakistani or British Pakistani,0,3,0,0,0,0,4,0,0,2
Mixed or Multiple ethnic groups: Polynesian/Micronesian/Melanesian,0,1,1,0,1,0,4,2,0,0
Mixed or Multiple ethnic groups: Portuguese,1,4,0,0,2,0,0,0,0,0
Mixed or Multiple ethnic groups: South African,0,0,1,0,0,0,2,0,0,0
Mixed or Multiple ethnic groups: South American,0,3,6,2,2,5,3,2,3,1
Mixed or Multiple ethnic groups: South Asian and European,0,3,1,1,1,1,2,0,0,2
Mixed or Multiple ethnic groups: Spanish,0,0,0,0,3,1,0,0,0,0
Mixed or Multiple ethnic groups: Turkish,0,1,3,0,2,1,3,0,2,0
Mixed or Multiple ethnic groups: Turkish Cypriot,0,0,0,0,0,0,0,0,0,1
Mixed or Multiple ethnic groups: White African,0,5,3,0,1,0,2,0,0,0
Mixed or Multiple ethnic groups: White and Arab,1,2,19,0,12,12,4,6,18,7
Mixed or Multiple ethnic groups: White and Asian (unspecified),107,165,312,139,212,285,213,149,213,128
Mixed or Multiple ethnic groups: White and Black African,38,122,112,22,76,101,129,38,37,52
Mixed or Multiple ethnic groups: White and Black Caribbean,65,128,99,42,93,70,138,49,49,64
Mixed or Multiple ethnic groups: White and East Asian,0,0,0,0,0,0,0,0,2,0
Mixed or Multiple ethnic groups: White and North African or Middle Eastern,3,2,3,5,7,8,1,10,3,1
Mixed or Multiple ethnic groups: White and South Asian,0,1,1,0,2,5,3,3,0,0
Mixed or Multiple ethnic groups: White Caribbean,0,0,0,0,0,0,1,0,1,3
